Species common name,nest_height,scientific_name,common_name
Abbott's Babbler,1.4,Malacocincla abbotti,Abbott's Babbler
Abbott's Booby,NA,Papasula abbotti,Abbott's Booby
Abbott's Starling,NA,Poeoptera femoralis,Abbott's Starling
Abd al Kuri Sparrow,NA,Passer hemileucus,Abd al Kuri Sparrow
Abdim's Stork,NA,Ciconia abdimii,Abdim's Stork
Aberdare Cisticola,0.44999999999999996,Cisticola aberdare,Aberdare Cisticola
Aberrant Bush-warbler,NA,Horornis flavolivaceus,Aberrant Bush-warbler
Abert's Towhee,2.335,Melozone aberti,Abert's Towhee
Abyssinian Catbird,7.5,Parophasma galinieri,Abyssinian Catbird
Abyssinian Citril,3.75,Crithagra citrinelloides,Abyssinian Citril
Abyssinian Crimsonwing,4,Cryptospiza salvadorii,Abyssinian Crimsonwing
Abyssinian Ground-thrush,4,Geokichla piaggiae,Abyssinian Ground-thrush
Abyssinian Longclaw,0,Macronyx flavicollis,Abyssinian Longclaw
Abyssinian Roller,7,Coracias abyssinicus,Abyssinian Roller
Abyssinian Scimitarbill,NA,Rhinopomastus minor,Abyssinian Scimitarbill
Abyssinian Slaty-flycatcher,NA,Melaenornis chocolatinus,Abyssinian Slaty-flycatcher
Abyssinian Thrush,NA,Turdus abyssinicus,Abyssinian Thrush
Abyssinian White-eye,2.5,Zosterops abyssinicus,Abyssinian White-eye
Abyssinian Woodpecker,NA,Dendropicos abyssinicus,Abyssinian Woodpecker
Acacia Pied Barbet,NA,Tricholaema leucomelas,Acacia Pied Barbet
Acadian Flycatcher,12.175,Empidonax virescens,Acadian Flycatcher
Aceh Bulbul,NA,Pycnonotus snouckaerti,Aceh Bulbul
Acorn Woodpecker,12.05,Melanerpes formicivorus,Acorn Woodpecker
Acre Antshrike,NA,Thamnophilus divisorius,Acre Antshrike
Acre Tody-tyrant,NA,Hemitriccus cohnhafti,Acre Tody-tyrant
Adamawa Turtle-dove,4.5,Streptopelia hypopyrrha,Adamawa Turtle-dove
Adelaide's Warbler,2.7,Setophaga adelaidae,Adelaide's Warbler
Adélie Penguin,0,Pygoscelis adeliae,Adélie Penguin
Afep Pigeon,NA,Columba unicincta,Afep Pigeon
Afghan Snowfinch,NA,Pyrgilauda theresae,Afghan Snowfinch
African Barred Owlet,6,Glaucidium capense,African Barred Owlet
African Black Duck,0,Anas sparsa,African Black Duck
African Blue Quail,0,Synoicus adansonii,African Blue Quail
African Blue Tit,1.5,Cyanistes teneriffae,African Blue Tit
African Blue-flycatcher,NA,Elminia longicauda,African Blue-flycatcher
African Broadbill,2.25,Smithornis capensis,African Broadbill
African Collared-dove,3.75,Streptopelia roseogrisea,African Collared-dove
African Comb Duck,6,Sarkidiornis melanotos,African Comb Duck
African Crake,0.075,Crex egregia,African Crake
African Crimson-winged Finch,NA,Rhodopechys alienus,African Crimson-winged Finch
African Cuckoo,NA,Cuculus gularis,African Cuckoo
African Cuckoo-hawk,19.15,Aviceda cuculoides,African Cuckoo-hawk
African Darter,3,Anhinga rufa,African Darter
African Desert Warbler,NA,Sylvia deserti,African Desert Warbler
African Dusky Flycatcher,8.5,Muscicapa adusta,African Dusky Flycatcher
African Dwarf-kingfisher,NA,Ispidina lecontei,African Dwarf-kingfisher
African Emerald Cuckoo,NA,Chrysococcyx cupreus,African Emerald Cuckoo
African Finfoot,2,Podica senegalensis,African Finfoot
African Firefinch,NA,Lagonosticta rubricata,African Firefinch
African Fish-eagle,23.799999999999997,Haliaeetus vocifer,African Fish-eagle
African Golden Oriole,NA,Oriolus auratus,African Golden Oriole
African Golden Weaver,5.5,Ploceus subaureus,African Golden Weaver
African Goshawk,NA,Accipiter tachiro,African Goshawk
African Grass-owl,0,Tyto capensis,African Grass-owl
African Green Bee-eater,NA,Merops viridissimus,African Green Bee-eater
African Green-pigeon,13,Treron calvus,African Green-pigeon
African Grey Flycatcher,5,Bradornis microrhynchus,African Grey Flycatcher
African Grey Hornbill,5.2,Lophoceros nasutus,African Grey Hornbill
African Harrier-hawk,20,Polyboroides typus,African Harrier-hawk
African Hawk-eagle,22,Aquila spilogaster,African Hawk-eagle
African Hill-babbler,NA,Sylvia abyssinica,African Hill-babbler
African Hobby,24,Falco cuvierii,African Hobby
African Houbara,0,Chlamydotis undulata,African Houbara
African Jacana,0,Actophilornis africanus,African Jacana
African Long-eared Owl,NA,Asio abyssinicus,African Long-eared Owl
African Marsh-harrier,1.5,Circus ranivorus,African Marsh-harrier
African Olive-pigeon,8,Columba arquatrix,African Olive-pigeon
African Openbill,NA,Anastomus lamelligerus,African Openbill
African Oystercatcher,0,Haematopus moquini,African Oystercatcher
African Palm-swift,NA,Cypsiurus parvus,African Palm-swift
African Paradise-flycatcher,6.5,Terpsiphone viridis,African Paradise-flycatcher
African Penguin,0,Spheniscus demersus,African Penguin
African Piculet,3.5,Verreauxia africana,African Piculet
African Pied Starling,NA,Lamprotornis bicolor,African Pied Starling
African Pied Wagtail,NA,Motacilla aguimp,African Pied Wagtail
African Pipit,0,Anthus cinnamomeus,African Pipit
African Pitta,6,Pitta angolensis,African Pitta
