species_code,scientific_name,common_name,order,family,family_common,category,taxon_order,report_as,extinct,lookup_species
comred,Acanthis flammea,Common Redpoll,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,31962,NA,FALSE,Acanthis flammea
norgos,Accipiter atricapillus,American Goshawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8149,NA,FALSE,Accipiter atricapillus
coohaw,Accipiter cooperii,Cooper's Hawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8122,NA,FALSE,Accipiter cooperii
shshaw,Accipiter striatus,Sharp-shinned Hawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8109,NA,FALSE,Accipiter striatus
nswowl,Aegolius acadicus,Northern Saw-whet Owl,Strigiformes,Strigidae,Owls,species,9096,NA,FALSE,Aegolius acadicus
manduc,Aix galericulata,Mandarin Duck,Anseriformes,Anatidae,"Ducks, Geese, and Waterfowl",species,435,NA,FALSE,Aix galericulata
chwwid,Antrostomus carolinensis,Chuck-will's-widow,Caprimulgiformes,Caprimulgidae,Nightjars and Allies,species,3610,NA,FALSE,Antrostomus carolinensis
easwpw1,Antrostomus vociferus,Eastern Whip-poor-will,Caprimulgiformes,Caprimulgidae,Nightjars and Allies,species,3630,NA,FALSE,Antrostomus vociferus
rthhum,Archilochus colubris,Ruby-throated Hummingbird,Caprimulgiformes,Trochilidae,Hummingbirds,species,4776,NA,FALSE,Archilochus colubris
tuftit,Baeolophus bicolor,Tufted Titmouse,Passeriformes,Paridae,"Tits, Chickadees, and Titmice",species,21771,NA,FALSE,Baeolophus bicolor
cedwax,Bombycilla cedrorum,Cedar Waxwing,Passeriformes,Bombycillidae,Waxwings,species,29386,NA,FALSE,Bombycilla cedrorum
grhowl,Bubo virginianus,Great Horned Owl,Strigiformes,Strigidae,Owls,species,8705,NA,FALSE,Bubo virginianus
rethaw,Buteo jamaicensis,Red-tailed Hawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8312,NA,FALSE,Buteo jamaicensis
reshaw,Buteo lineatus,Red-shouldered Hawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8284,NA,FALSE,Buteo lineatus
brwhaw,Buteo platypterus,Broad-winged Hawk,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,8293,NA,FALSE,Buteo platypterus
canwar,Cardellina canadensis,Canada Warbler,Passeriformes,Parulidae,New World Warblers,species,33798,NA,FALSE,Cardellina canadensis
wlswar,Cardellina pusilla,Wilson's Warbler,Passeriformes,Parulidae,New World Warblers,species,33799,NA,FALSE,Cardellina pusilla
bicthr,Catharus bicknelli,Bicknell's Thrush,Passeriformes,Turdidae,Thrushes and Allies,species,27854,NA,FALSE,Catharus bicknelli
veery,Catharus fuscescens,Veery,Passeriformes,Turdidae,Thrushes and Allies,species,27846,NA,FALSE,Catharus fuscescens
herthr,Catharus guttatus,Hermit Thrush,Passeriformes,Turdidae,Thrushes and Allies,species,27866,NA,FALSE,Catharus guttatus
gycthr,Catharus minimus,Gray-cheeked Thrush,Passeriformes,Turdidae,Thrushes and Allies,species,27851,NA,FALSE,Catharus minimus
swathr,Catharus ustulatus,Swainson's Thrush,Passeriformes,Turdidae,Thrushes and Allies,species,27857,NA,FALSE,Catharus ustulatus
brncre,Certhia americana,Brown Creeper,Passeriformes,Certhiidae,Treecreepers,species,26564,NA,FALSE,Certhia americana
evegro,Coccothraustes vespertinus,Evening Grosbeak,Passeriformes,Fringillidae,"Finches, Euphonias, and Allies",species,31563,NA,FALSE,Coccothraustes vespertinus
yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Cuckoos,species,3230,NA,FALSE,Coccyzus americanus
bkbcuc,Coccyzus erythropthalmus,Black-billed Cuckoo,Cuculiformes,Cuculidae,Cuckoos,species,3235,NA,FALSE,Coccyzus erythropthalmus
olsfly,Contopus cooperi,Olive-sided Flycatcher,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16581,NA,FALSE,Contopus cooperi
eawpew,Contopus virens,Eastern Wood-Pewee,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16615,NA,FALSE,Contopus virens
ruckin,Corthylio calendula,Ruby-crowned Kinglet,Passeriformes,Regulidae,Kinglets,species,26391,NA,FALSE,Corthylio calendula
comrav,Corvus corax,Common Raven,Passeriformes,Corvidae,"Crows, Jays, and Magpies",species,21235,NA,FALSE,Corvus corax
blujay,Cyanocitta cristata,Blue Jay,Passeriformes,Corvidae,"Crows, Jays, and Magpies",species,20899,NA,FALSE,Cyanocitta cristata
recwoo,Dryobates borealis,Red-cockaded Woodpecker,Piciformes,Picidae,Woodpeckers,species,11201,NA,FALSE,Dryobates borealis
dowwoo,Dryobates pubescens,Downy Woodpecker,Piciformes,Picidae,Woodpeckers,species,11175,NA,FALSE,Dryobates pubescens
haiwoo,Dryobates villosus,Hairy Woodpecker,Piciformes,Picidae,Woodpeckers,species,11202,NA,FALSE,Dryobates villosus
pilwoo,Dryocopus pileatus,Pileated Woodpecker,Piciformes,Picidae,Woodpeckers,species,11527,NA,FALSE,Dryocopus pileatus
swtkit,Elanoides forficatus,Swallow-tailed Kite,Accipitriformes,Accipitridae,"Hawks, Eagles, and Kites",species,7699,NA,FALSE,Elanoides forficatus
yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16640,NA,FALSE,Empidonax flaviventris
leafly,Empidonax minimus,Least Flycatcher,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16654,NA,FALSE,Empidonax minimus
acafly,Empidonax virescens,Acadian Flycatcher,Passeriformes,Tyrannidae,Tyrant Flycatchers,species,16641,NA,FALSE,Empidonax virescens
rusbla,Euphagus carolinus,Rusty Blackbird,Passeriformes,Icteridae,Troupials and Allies,species,33322,NA,FALSE,Euphagus carolinus
merlin,Falco columbarius,Merlin,Falconiformes,Falconidae,Falcons and Caracaras,species,11825,NA,FALSE,Falco columbarius
redjun,Gallus gallus,Red Junglefowl,Galliformes,Phasianidae,"Pheasants, Grouse, and Allies",species,1562,NA,FALSE,Gallus gallus
kenwar,Geothlypis formosa,Kentucky Warbler,Passeriformes,Parulidae,New World Warblers,species,33484,NA,FALSE,Geothlypis formosa
mouwar,Geothlypis philadelphia,Mourning Warbler,Passeriformes,Parulidae,New World Warblers,species,33479,NA,FALSE,Geothlypis philadelphia
